File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
600,,,,35073361840000,Texaco,Foster,1,31.0,17.0,N,5.0,W,,,,Kingfisher,OK,,,4214,4854,Chips ,Butt Box,,3.5,,"Box is MIA, may not exist",,,,,,,
1003,,,,35049012950000,Sohio,Harrell,,12.0,1.0,N,3.0,W,SWNE,34.57301,97.46294,Garvin,OK,,Eola-Robberson,3851,3874,Chips ,Butt Box,,,,,,,,,,,
1003,,,,35049012950000,Sohio,Harrell,,12.0,1.0,N,3.0,W,SWNE,34.57301,97.46294,Garvin,OK,,Eola-Robberson,4317,4335,Chips ,Butt Box,,,,,,,,,,,
1003,,,,35049012950000,Sohio,Harrell,,12.0,1.0,N,3.0,W,SWNE,34.57301,97.46294,Garvin,OK,Bromide,Eola-Robberson,8649,8666,Chips ,Butt Box,,,,,,,,,,,
1003,,,,35049012950000,Sohio,Harrell,,12.0,1.0,N,3.0,W,SWNE,34.57301,97.46294,Garvin,OK,Bromide,Eola-Robberson,8699,8757,Chips ,Butt Box,,,,,,,,,,,
1003,,,,35049012950000,Sohio,Harrell,,12.0,1.0,N,3.0,W,SWNE,34.57301,97.46294,Garvin,OK,Mclish,Eola-Robberson,8806,8910,Chips ,Butt Box,,,,,,,,,,,
1003,,,,35049012950000,Sohio,Harrell,,12.0,1.0,N,3.0,W,SWNE,34.57301,97.46294,Garvin,OK,Oil Creek,Eola-Robberson,9856,9881,Chips ,Butt Box,,,,,,,,,,,
1003,,,,35049012950000,Sohio,Harrell,,12.0,1.0,N,3.0,W,SWNE,34.57301,97.46294,Garvin,OK,Oil Creek,Eola-Robberson,9899,9942,Chips ,Butt Box,,,,,,,,,,,
1003,,,,35049012950000,Sohio,Harrell,,12.0,1.0,N,3.0,W,SWNE,34.57301,97.46294,Garvin,OK,Oil Creek,Eola-Robberson,9932,9957,Chips ,Butt Box,,,,,,,,,,,
1003,,,,35049012950000,Sohio,Harrell,,12.0,1.0,N,3.0,W,SWNE,34.57301,97.46294,Garvin,OK,Oil Creek,Eola-Robberson,9963,10027,Chips ,Butt Box,,,,,,,,,,,
